"league_name","series_id","team_name","player_id","f_name","l_name","match_type","match_count","bat_inns","not_outs","bat_runs","balls_faced","4s","6s","bat_hs","bat_avg","bat_SR","bowl_inns","balls_bowled","runs_given","wkts","bowl_avg","bowl_econ","best_bowl","maidens","wides","no_balls","hat_tricks","catches","stumpings","wktkpr_catches","direct_runouts","indirect_runouts","total_points","bat_pts","bowl_pts","field_pts"
"MTBC 2019 Women's League",22,"Chariots Of Fire",895048,"Dexy","Chacko","l",2,2,0,"22","31","1","0",12,"11.0000","70.9677",2,"0","0","0","","","","0","0","0","0","1","0","0","0","0","53","43","0","10"
"MTBC 2019 Women's League",22,"Chariots Of Fire",1396680,"Harika","N","l",4,4,1,"9","25","0","0",7,"3.0000","36.0000",4,"0","0","0","","","","0","0","0","0","1","0","0","0","0","9","-1","0","10"
"MTBC 2019 Women's League",22,"Chariots Of Fire",895049,"Jansi","Kundavaram","l",4,4,0,"24","47","0","0",11,"6.0000","51.0638",4,"6","9","1","9.0000","9.0000","1/9","0","1","0","0","0","0","0","0","0","44","24","20","0"
"MTBC 2019 Women's League",22,"Chariots Of Fire",895044,"Jemima","Munnangi","l",1,1,1,"0","0","0","0",0,"","",1,"0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MTBC 2019 Women's League",22,"Chariots Of Fire",1402413,"Kaushalya","P","l",3,3,1,"1","3","0","0",1,"0.5000","33.3333",3,"6","20","0","","20.0000","","0","0","0","0","0","0","0","1","0","11","-9","0","20"
"MTBC 2019 Women's League",22,"Chariots Of Fire",891440,"Mithra","Jampana","l",4,4,0,"53","66","1","0",19,"13.2500","80.3030",4,"60","40","2","20.0000","4.0000","1/12","0","2","1","0","1","0","0","0","0","174","84","80","10"
"MTBC 2019 Women's League",22,"Chariots Of Fire",1316945,"Prasanna","L","l",4,4,0,"38","46","3","0",20,"9.5000","82.6087",4,"37","53","3","17.6667","8.5946","2/21","0","6","1","0","2","0","0","0","0","161","81","60","20"
"MTBC 2019 Women's League",22,"Chariots Of Fire",895042,"Preethi","Madhavaram","l",4,4,0,"12","26","0","0",5,"3.0000","46.1538",4,"71","71","0","","6.0000","","0","6","2","0","0","0","0","0","0","32","12","20","0"
"MTBC 2019 Women's League",22,"Chariots Of Fire",1316958,"Priya","Balu","l",4,4,4,"0","0","0","0",0,"","",4,"18","34","1","34.0000","11.3333","1/8","0","3","0","0","0","0","0","0","0","30","0","30","0"
"MTBC 2019 Women's League",22,"Chariots Of Fire",1316946,"Priya","Ramesh","l",3,3,3,"0","0","0","0",0,"","",3,"24","33","4","8.2500","8.2500","3/14","0","5","1","0","1","0","0","0","0","100","0","90","10"
"MTBC 2019 Women's League",22,"Chariots Of Fire",1396681,"Rama","U","l",3,3,1,"23","41","0","0",19,"11.5000","56.0976",3,"6","13","0","","13.0000","","0","4","2","0","1","0","0","0","0","43","33","0","10"
"MTBC 2019 Women's League",22,"Chariots Of Fire",1316959,"Revathy","Palanikumar","l",4,4,2,"3","3","0","0",2,"1.5000","100.0000",4,"0","0","0","","","","0","0","0","0","0","0","0","0","0","3","3","0","0"
"MTBC 2019 Women's League",22,"Chariots Of Fire",895041,"Suneela","Dronavalli","l",1,1,1,"0","0","0","0",0,"","",1,"0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MTBC 2019 Women's League",22,"Chariots Of Fire",1396682,"Swetha","H","l",4,4,3,"3","5","0","0",3,"3.0000","60.0000",4,"36","41","1","41.0000","6.8333","1/7","0","5","1","0","0","0","2","0","0","53","3","30","20"
"MTBC 2019 Women's League",22,"Cutie Minns",1407635,"Anusha","Sabhapathi","l",2,2,1,"0","0","0","0",0,"0.0000","",2,"6","9","1","9.0000","9.0000","1/9","0","0","1","0","1","0","0","0","0","20","-10","20","10"
"MTBC 2019 Women's League",22,"Cutie Minns",1301354,"Aswini","Ranam","l",3,3,1,"2","11","0","0",2,"1.0000","18.1818",3,"0","0","0","","","","0","0","0","0","0","0","0","1","0","2","-18","0","20"
"MTBC 2019 Women's League",22,"Cutie Minns",1407636,"Balaa","Gudimetla","l",1,1,1,"0","0","0","0",0,"","",1,"6","19","0","","19.0000","","0","1","2","0","0","0","0","0","0","0","0","0","0"
"MTBC 2019 Women's League",22,"Cutie Minns",1301344,"Deepthi","Ghadiyaram","l",3,3,1,"3","11","0","0",3,"1.5000","27.2727",3,"6","12","0","","12.0000","","0","0","0","0","1","0","0","0","0","-7","-17","0","10"
"MTBC 2019 Women's League",22,"Cutie Minns",1407637,"Jyothi","Rayadurgam","l",1,1,0,"2","4","0","0",2,"2.0000","50.0000",1,"0","0","0","","","","0","0","0","0","1","0","0","0","0","12","2","0","10"
